 LISTA_DE_INGREDIENTES ; TIPO DE INGREDIENTE ; UNID ;P.U.; OBSERVACIONES ; PROVEEDOR 
 Aceite ; Abarrotes ; lt ; 3.450 ; botella 1 LT ; Fruton 
 Aceite de dende ; Abarrotes ; lt ; 11.820 ; bot.200 cc ; Comon 
 aceite de dende ; Abarrotes ;frasco; 3.500 ; 500cc frasco ; juanito perez 
 Aceite de oliva ; Abarrotes ; lt ; 5.782 ; 26900 5 litros ; Arasil 
 Aceite de sésamo ; Abarrotes ; lt ; 18.225 ; bot.200 cc ; Fruton 
 Aceite frito master ; Abarrotes ;lt; 1.385 ; Bidón de 10lt ; cambiar 
 Aceite Tartufo ; Abarrotes ;lt; 29.900 ; 2990 100ml ; Globe Italia 
 aceituna rebanadas ; Abarrotes ;kg; 5.990 ; 1 kilo ; Miguel Farias 
 aceituna verde ; Abarrotes ;kg; 5.490 ;; Delicias y mas SpA 
 aceituna verde sin cuesco ; Abarrotes ;kg; 4.500 ;; Fruton 
 Aceitunas de azapa ; Abarrotes ;kg; 3.690 ;; Fruton 
 aceitunas deshuesadas ; Abarrotes ;kg; 4.500 ;; Fruton 
 Aceitunas moradas ; Abarrotes ;kg; 5.200 ;; Fruton 
 Acelga ; Frutas/Verduras ;pqte; 790 ;; Fruton 
 Achicoria ; Frutas/Verduras ;unid; 795 ;; Agromarket 
 Agua ; Abarrotes ;lt; -   ;; Bodega 
 Agua ardiente ; Tragos ;botella; 1.420 ;; German Garci 
 Agua con gas Cachantún 1,6 lt ; Bebidas ; botella ; 605,00 ;; CCU 
 Agua mineral con gas Benedictino ; Bebidas ;botella; 423 ; botella 2 lt ; Andina 
 Agua mineral con gas-500cc ; Bebidas ;botella; 290 ; botella 500 cc ; CCU 
 Agua mineral sin gas ; Bebidas ;botella; 218 ; botella 2,250 lt ; CCU 
 Agua mineral sin gas Benedictino ; Bebidas ;botella; 423 ; botella 2 lt ; Andina 
 Agua porvenir ; Bebidas ;botella; 440 ; botella 1.5 LT ; CCU 
 Agua sin gas Cachantún 1,6 lt ; Bebidas ; botella ; 605,00 ;; Andina 
 Agua tibia ; Abarrotes ;lt; -   ;; Bodega 
 Agua tónica light ; Bebidas ;botella; 335 ; lata 350  ; CCU 
 Agua tónica ; Bebidas ;botella; 988 ; botella 1.5 LT ; CCU 
 Aji amarillo ; Abarrotes ;kg; 4.900 ; frasco ; Fruton 
 Ají amarillo fresco ; Frutas/Verduras ;kg; 4.900 ;; Fruton 
 Ají cacho de cabra ; Abarrotes ; kg ; 12.900 ;; Fruton 
 Ají cayena ; Abarrotes ; kg ; 3.805 ;; Gudland 
 Ají de color ; Abarrotes ;bolsa; 4.690 ; bolsa de 1 kg ; Fruton 
 Ají Guacatay ; Abarrotes ; kg ; 4.808 ; Bolsa  de 1/2 kg ; Fruton 
 Aji no moto ; Abarrotes ;kg; 1.816 ;; Fruton 
 Ají Panca ; Abarrotes ; kg ; 12.900 ; Bolsa  de 1/2 kg ; Fruton 
 Ají para Tacos ; Abarrotes ;frasco; 1.878 ;; cambiar 
 ají picomono ; Frutas/Verduras ; kg ; 9.990 ;; Agromarket 
 Ají red pepper ; Frutas/Verduras ;kg; 5.000 ;; Fruton 
 Aji rojo pasta ; Abarrotes ;kg; 799 ;; cambiar 
 Ají rosado ; Abarrotes ; kg ; 3.805 ;; Gudland 
 Ají srirachia ; Abarrotes ; frasco ; 6.890 ; botella 793 cc ; Delicias y mas SpA 
 Ají Tabasco ; Abarrotes ; frasco ; 3.800 ; 312 grs ; Fruton 
 Ají verde ; Frutas/Verduras ; kg ; 1.290 ;; Fruton 
 Ajo ; Frutas/Verduras ; c/u ; 450 ;; Comercial Valencia 
 Albacora ; Mariscos/Pescados ; kg ; 4.800 ;; Packets 
 Albahaca Baby ; Frutas/Verduras ;kg; 9.680 ;; BioInvest 
 Albahaca fresca ; Frutas/Verduras ;kg; 4.980 ;; Fruton 
 Alcachofa corazón ; Abarrotes ;kg; 2.157 ; frasco de 410 grs ; Cosecha verde 
 Alcachofa fondo ; Abarrotes ;kg; 6.090 ;; Miguel Farias 
 Alcachofa trozo ; Abarrotes ; kg ; 2.116 ;; A Y R 
 Alcaparras ; Abarrotes ;frasco; 7.890 ; frasco de 1kg drenado 800grs ; Delicias y mas SpA 
 ald spice ; Abarrotes ;kg; 10.695 ;; Damasco 
 Alfajores ; Abarrotes ;c/u; 302 ;; Delicias y mas SpA 
 Alfajores/Mazapan ; Dulces/Tortas ;c/u; 454 ;; Mazapanchito 
 Alfoncino desviserado ; Mariscos/Pescados ;kg; 7.500 ; calcular 270 grs por pax ; Pesca fresca 
 Alfoncino fileteado ; Mariscos/Pescados ;kg; 7.500 ; 200 grs por pax ; Pesca fresca 
 Algodón de azúcar ; Otras Comidas ;c/u; 500 ;; Romina Poblete 
 Algodón redondo chico ; Abarrotes ;c/u; 445 ;; Salcobrand 
 Aliño completo ; Abarrotes ;kg;;; Fruton 
 All spice ; Abarrotes ;kg; 10.695 ;; Damasco 
 Almejas frescas ; Mariscos/Pescados ; kg ; 4.909 ;; Delicias y mas SpA 
 Almendra con cáscara ; Abarrotes ;kg; 5.700 ;; Tres Valles Spa 
 Almendra Pelada  ; Abarrotes ;kg; 5.700 ;; Tres Valles Spa 
 Almendra Pelada tostada ; Abarrotes ; kg ; 6.875 ;; cambiar 
 Almendras laminadas ; Abarrotes ;kg; 9.975 ;; Miguel Farias 
 Almond Rocca ; Dulces/Tortas ;c/u; 18.890 ;; Daniel Gelferstein 
 Alusa foil ; Abarrotes ;c/u; 9.000 ; de 100 mt ; Abraham Vilches 
 Alusa plast ; Abarrotes ;c/u; 7.100 ; de 300 mt ; Abraham Vilches 
 Amapola ; Abarrotes ;kg; 8.990 ;; Delicias y mas SpA 
 Amaretto de cocinar ; Tragos ;botella; 3.245 ; botella de 750cc ; CCU 
 Amaretto di sarono ; Tragos ;botella; 13.715 ; botella 750cc ; German García 
 Amargo de angostura ; Tragos ;botella; 2.260 ;; German García 
 Anchoas ; Abarrotes ;lata; 7.340 ; 40 grs ; Delicias y mas SpA 
 Anís ; Abarrotes ;kg; 1.150 ;; Gudland 
 Anís estrella ; Abarrotes ;kg; 22.000 ;; Delicias y mas SpA 
 Antialérgico ; Abarrotes ;c/u; 164 ; Clorfenamina 20 tabletas ; Salcobrand 
 Aperol ; Tragos ;botella; 8.394 ;; VYL 
 Apio ; Frutas/Verduras ;mata; 980 ; mata 2,5 kg ; Delicias y mas SpA 
 Arak ; Tragos ;botella; 4.500 ;; German García 
 Arándanos congelados ; Frutas/Verduras ;kg; 3.550 ;; Congefruits 
 Arándanos ; Frutas/Verduras ;kg; 4.980 ;; Fruton 
 Arguilas ; Otras Comidas ;c/u; 19.244 ;; Comercial damasco limitada 
 Arrollado de cerdo ; Carnes ;kg; 5.850 ;; Comercial Chau 
 Arroz  ; Abarrotes ;kg; 1.008 ;; Cabezas y cia 
 Arroz arborio ; Abarrotes ;kg; 5.190 ; paqtes. 5 kg ; Delicias y mas SpA 
 Arroz jasmín ; Abarrotes ;kg; 4.980 ;; Fruton 
 Arroz para sushi ; Abarrotes ;kg; 2.500 ;; Delicias y mas SpA 
 Arroz salvaje ; Abarrotes ;kg; 1.669 ;; cambiar 
 Arveja  ; Abarrotes ;kg; 4.980 ;; Fruton 
 Arveja Partida ; Abarrotes ;kg; 2.980 ;; Fruton 
 Arvejas congeladas ; Frutas/Verduras ;kg; 2.200 ;; Fruton 
 Asado de tira ; Carnes ;kg; 8.398 ;; Pallet Steak 
 Asiento ; Carnes ;kg; 8.898 ;; Pallet Steak 
 Asiento porcionado ; Carnes ;kg; 8.898 ;; Pallet Steak 
 Aspirinas ; Abarrotes ;caja; 2.496 ; 40 pastillas ; Salcobrand 
 Atún congelado en loins ; Mariscos/Pescados ;kg; 7.900 ;; Cerro Pacifico 
 Atún en lata 190 grs ; Abarrotes ;lata; 1.490 ; lata x 190grs ; Delicias y mas SpA 
 Atún fresco  ; Mariscos/Pescados ;kg; 7.590 ;; Comercial Alca 
 Atún tratado  ; Mariscos/Pescados ;kg; 11.000 ;; Packets 
 Avellana ; Abarrotes ;Kg; 14.000 ;; Miguel Farias 
 Azafrán ; Abarrotes ;caja; 4.450 ; -   ; Fruton 
 Azúcar ; Abarrotes ;kg; 1.300 ;; Delicias y mas SpA 
 Azúcar cubo blanca ; Abarrotes ;caja; 1.590 ;; Delicias y mas SpA 
 Azúcar cubo rubia ; Abarrotes ;caja; 1.890 ;; Delicias y mas SpA 
 Azúcar flor ; Abarrotes ;kg; 1.500 ;; Delicias y mas SpA 
 Azúcar granulada rubia ; Abarrotes ;kg; 2.790 ;; Fruton 
 Azúcar Iansa ; Abarrotes ;kg; 1.300 ;; Fruton 
 Baby Back Ribs ; Carnes ;kg; 5.600 ;; Pallet Steak 
 Baileys ; Tragos ;botella; 11.664 ;; Escocia 
 Balsamico de tartufo ; Abarrotes ;botella; 19.000 ; bot 250 cc ; Gourmet Italia 
 Bandeja de cartón para torta ; Abarrotes ;c/u; 1.000 ;; A Y R 
 Barman ; Abarrotes ;c/u;;; Bodega 
 Barril de cerveza Escudo ; Tragos ;barril; 26.768 ; 50 lt ; CCU 
 Barril de cerveza Heineken ; Tragos ;barril; 25.347 ; 30 lt ; CCU 
 Barril de cerveza Kunstman ; Tragos ;barril; 53.415 ; 50 lt ; CCU 
 Berenjenas ; Frutas/Verduras ;c/u; 490 ; 180 grs ; Fruton 
 Bernardin ; Dulces/Tortas ;c/u; 39.000 ;; El Esfuerzo 
 Berros ; Frutas/Verduras ;kg; 10.490 ;; Comercial Johnson 
 Berros en mata ; Frutas/Verduras ;mata; 625 ;; Fruton 
 Berros hidropónico ; Frutas/Verduras ;bandeja; 10.490 ; 1 kg ; Comercial Johnson 
 Betarraga ; Frutas/Verduras ;kg; 690 ;; Comercial Valencia 
 Bialcohol ; Abarrotes ;spray;1471; spray 100 cc ; Salcobrand 
 Bicarbonato ; Abarrotes ;kg; 2.690 ;; Fruton 
 Bidón de agua mineral sin gas ; Abarrotes ;bidón ; 1.440 ; 5ltrs ; CCU 
 Bifes de cerdo ; Carnes ;1; 2.298 ;; Comercial Chau 
 BILZ/PAP  ; Bebidas ;botella; 639 ; botella de 1,5 lt ; CCU 
 Bizcocho de chocolate ; Abarrotes ;c/u; 4.800 ;; Carmelita Ossa 
 Bizcocho de vainilla ; Abarrotes ;c/u; 2.700 ;; pastelería cacao 
 Bjerez ; Tragos ;botella; 5.266 ;; CCU 
 Bleu marlin ; Frutas/Verduras ;kg; 7.200 ;; Packets 
 Bolsa de basura ; Abarrotes ;c/u; 195 ;; Abraham Vilches 
 Bolsa de basura negra ; Abarrotes ;c/u; 352 ; 50*70 cm pqte de 10 unid ; Abraham Vilches 
 Bolsa prepicada chica ; Abarrotes ;kg; 3.508 ; rollo de 3,5 kg - 20*30 ; Abraham Vilches 
 Bolsa prepicada grande ; Abarrotes ;kg; 2.652 ; rollo de 3,5 kg ; Abraham Vilches 
 Bombillas ; Abarrotes ; un ; 25,00 ;; Delicias y mas SpA 
 Bombón de camembert/proscuitto ; Otras Comidas ;c/u; 300 ;; Gastón Castillo 
 Boquerones ; Abarrotes ;c/u; 2.390 ;; Cencosud Retail 
 Boquillas arguilas ; otras comidas ;pqte; 841 ; 10 unidades ; comercial damasco limitada 
 Brochetas de 12 cm ; Abarrotes ;pqte; 790 ; 100 unid x pqte ; Delicias y mas SpA 
 Brochetas de 15 cm ; Abarrotes ;pqte; 170 ; 100 unid x pqte ; Librería Pinocho 
 Brochetas de 20 cm ; Abarrotes ;pqte; 588 ; 100 unid x pqte ; Librería Pinocho 
 Brocoli ; Frutas/Verduras ;unid; 1.590 ;; Comercial Valencia 
 Brote de alfalfa ; Frutas/Verduras ;kg; 7.934 ; kg ; Fruton 
 Brote de arverjas ; Frutas/Verduras ;kg; 7.934 ; kg ; Fruton 
 Brote de betarraga ; Frutas/Verduras ;kg; 890 ;; Agromarket 
 Burgol ; Abarrotes ;kg; 2.458 ; bolsas de 1 kg ; cambiar 
 Cabezas de pescado ; Mariscos/Pescados ;kg; 2.990 ;; Delicias y mas SpA 
 Cabritas ; Otras Comidas ;c/u; 500 ;; Romina Poblete 
 Cacao en polvo ; Abarrotes ;kg; 6.200 ;; Miguel Farias 
 Cachaza ; Tragos ;botella; 2.275 ;; CCU 
 café en grano ; Abarrotes ;kg; 14.990 ; $3500 250GRS ; Miguel Farias 
 Café molido  ; Abarrotes ;kg; 14.990 ; $3500 250GRS ; Miguel Farias 
 Café Nescafé 170 grs ; Abarrotes ;lata; 2.588 ; 170 gramos ; Comon 
 Café Nescafé 400 grs ; Abarrotes ;lata; 9.580 ; 400 gr ; Miguel Farias 
 Caja de cono ; Abarrotes ;caja; 10.719 ; 300 unit ; cambiar 
 Caja de torta ; Abarrotes ;c/u; 1.100 ;; Delicias y mas SpA 
 Cajón de frutillas ; Dulces/Tortas ;c/u; 13.950 ;; Carmelita Ossa 
 Calamares ; Mariscos/Pescados ;kg; 5.100 ;; Southwind 
 Calamares con tentáculos ; Mariscos/Pescados ;kg; 2.300 ;; Comercial Océano 
 Calamares vaina ; Mariscos/Pescados ;kg; 2.000 ;; Comercial Océano 
 Caldo de locos ;;;;; Bodega 
 Callampas secas ; Abarrotes ; kg ; 19.800 ;; Fruton 
" Caluga Nuez,Naranja;Almendra "; Dulces/Tortas ;c/u; 250 ;; Chocolates Moulie 
 Calvados ; Abarrotes ;botella; 19.947 ;; German García 
 Camarón 100/200 ; Mariscos/Pescados ;kg; 5.300 ; 250 unid x kilo ; Southwind 
 Camarón 16-20 ; Mariscos/Pescados ;kg; 11.500 ; 40UNIDADES * KG ; Southwind 
 Camarón 200/300 ; Mariscos/Pescados ;kg; 6.800 ; 500 unid x kilo ; Comercial Océano 
 Camarón 26/30 ; Mariscos/Pescados ;kg; 7.400 ; 50UNIDADES * KG ; Cero Pacifico 
 Camarón 31/35 ; Mariscos/Pescados ;kg; 7.400 ; 65 unid x kilo ; Cero Pacifico 
 Camarón 36/40 ; Mariscos/Pescados ;kg; 7.700 ; 75 unid x kilo ; Southwind 
 Camarón 40/50 ; Mariscos/Pescados ;kg; 12.500 ; Bloque de 2 kg ; Southwind 
 Camarón 41/50 ; Mariscos/Pescados ;kg; 6.850 ; 91 unid x kilo ; Comercial Alca 
 Camaron 71/90 ; Mariscos/Pescados ;kg; 5.605 ; 150 unid x kilo ; Comercial Océano 
 Camarón U-7 ; Mariscos/Pescados ;kg; 18.400 ; 7 unid x kilo ; Comercial Océano 
 Camote amarillo ; Frutas/Verduras ;kg; 690 ;; Fruton 
 Camote blanco ; Frutas/Verduras ;kg; 2.490 ;; Fruton 
 Campari ; Tragos ;botella; 5.237 ;; DESA 
 Canada dry ginger ale ; Bebidas ;botella; 652 ; botella de 1,5 lt ; CCU 
 Canada dry ginger ale light ; Bebidas ;botella; 1.287 ; botella de 3 lt ; CCU 
 Canada dry tónica ; Bebidas ;botella; 652 ; botella de 1,5 lt ; CCU 
 Candelle ; Abarrotes ;pqte; 3.960 ; Paquete 500gr ; Gourmet Italia 
 Canela en polvo ; Abarrotes ;kg; 5.500 ;; A Y R 
 Canela en rama ; Abarrotes ;kg; 9.000 ;; A Y R 
 Cangrejo ; Mariscos/Pescados ;kg; 13.500 ;; Seawine 
 Capsulas muffins ; Abarrotes ;caja; 95 ;; Delicias y mas SpA 
 Caquis ; Frutas/Verduras ;kg; 3.000 ; caja de 1000 u ; Agromarket 
 Carbón ; Frutas/Verduras ;kg; 756 ; 10500 X 20K ; Joe Cardemil 
 Carbón arguilas ; Otras Comidas ;kg; 3.328 ;; Comercial damasco limitada 
 Carcasa de gallina ; Carnes ;kg; 398 ;; Comercial Chau 
 Carcasa de pollo ; Carnes ;kg; 2.290 ;; Delicias y mas SpA 
 Cardamomo ; Abarrotes ;kg; 35.500 ;; Fruton 
 Carne molida de cordero ; Carnes ;kg; 2.980 ;; Comercial Chau 
 Carne molida de vacuno ; Carnes ;kg; 6.598 ;; Pallet Steak 
 Carolans ; Tragos ;botella; 5.249 ;; Escocia 
 Carrito de churros  ; Comidas Opcionales (carros) ;; 170.000 ;; Sweet Dreams 
 Carrito de churros,algodón, confites ; Comidas Opcionales (carros) ;c/u; 117.647 ;; Eventos jac 
 Carrito de completo domino ; Comidas Opcionales (carros) ;c/u; 350.000 ; 200 mini completos ; Domino 
 Carrito de Helado ; Comidas Opcionales (carros) ;c/u; 280.000 ;; Bobbo 
 Carrito de Helado Casona ; Comidas Opcionales (carros) ;; -   ;; Bobbo 
 Carrito flambeados ; Comidas Opcionales (carros) ;c/u; 30.000 ;; steward 
 Cascara de Camarón ; Abarrotes ;kg; -   ;; Bodega 
 Cáscaras de langosta ; Abarrotes ;kg; 4.977 ;; Bodega 
 Castañas    ; Frutas/Verduras ;kg; 1.600 ;; Agromarket 
 Castañas de cajú ; Abarrotes ;kg; 12.990 ;; Miguel Farias 
 Castañas en almibar ; Abarrotes ;frasco; 6.290 ; 800 grs drenado ; Delicias y mas SpA 
 Caviar ; Abarrotes ;frasco; 41.000 ; 50grs x frasco ; siruc 
 Caviar de salmón ; Abarrotes ;frasco; 13.130 ; 100grs x frasco ; Granja Marina 
 Cebolla ; Frutas/Verduras ;kg; 690 ;; Fruton 
 Cebolla morada ; Frutas/Verduras ; kg ; 690 ;; Fruton 
 Cebolla perla ; Frutas/Verduras ; kg ; 3.300 ;; Fruton 
 Cebollín ; Frutas/Verduras ;atado; 1.890 ; Mata de 120 grs ; Fruton 
 Cedrón de té ; Abarrotes ;caja; 1.290 ; 20 bolsitas ; Delicias y mas SpA 
 Cedrón fresco ; Abarrotes ;kg; 6.990 ;; Agromarket 
 Centolla carne ; Mariscos/Pescados ;kg; 43.000 ;; Granja Marina 
 Centolla ensalada ; Mariscos/Pescados ;kg; 43.000 ;; Granja Marina 
 Centolla mero ; Mariscos/Pescados ;kg; 55.000 ; 51 unidades x kilo ; Southwind 
 Cera ; Abarrotes ;lt; 1.550 ; barril de 60 lt ; Algarrobal 
 cerezas ; Frutas/Verduras ;kg; 1.690 ;; Fruton 
 Cerezas marrasquino ; Frutas/Verduras ;kg; 7.100 ; frasco de 1 kg ; Fruton 
 Cerveza Austral ; Tragos ;botella; 1.336 ; 355 cc ; CCU 
 Cerveza corona ; Tragos ;botella; 788 ; 330cc ; Distribuidora La Martina 
 Cerveza Austral torres del paine ; Tragos ;botella; 1.336 ; 355 cc ; CCU 
 Cerveza Austral calafate ; Tragos ;lata; 1.336 ;; CCU 
 Cerveza Austral lager ; Tragos ;lata; 1.336 ;; CCU 
 Cerveza Grolsch ; Tragos ;botella; 420 ; 330cc ; DESA 
 Cerveza GUAYACAN BLONDE ALE ; Tragos ;botella; 717 ;; CERVEZA GUAYACAN LTDA 
 Cerveza Imperial ; Tragos ;botella; 527 ; 330cc ; German García 
 Cerveza Kross Golden ale ; Tragos ;botella; 2.029 ; 330cc ; Comercial peumo 
 Cerveza kunstmann lager ; Tragos ; botella ; 1.135,00 ; 330 cc-lager ; CCU 
 Cerveza kunstmann torobayo ; Tragos ;botella; 1.135 ; 330 cc-torobayo ; CCU 
 Cerveza Mestra  Amber Ale ; Tragos ;botella; 751 ;; Cervezas Artesanales 
 Cerveza negra ; Tragos ;lata; 821 ; 330-cc ; CCU 
 Cerveza Peroni ; Tragos ; botella ; 1.000,00 ;; DESA 
 Cerveza Stella Artois ; Tragos ;botella; 423 ; 330-cc ; Cervezas Artesanales 
 Chalota ; Frutas/Verduras ;kg; 14.900 ;; Fruton 
 Champaña Amaranta Demi Sec ; Vinos ;botella; 1.900 ;; Viña Santa Rita 
 Champaña chandon argentino extra brut ; Vinos ;botella; 6.492 ;; Premiun Brands 
 Champaña Miguel Torres ; Vinos ;botella; 6.648 ;; Vinos del mundo S.A. 
 Champaña Undurraga Brut ; Tragos ;botella; 2.997 ;; DESA 
 Champaña Valdivieso brut ; Vinos ;botella; 2.517 ;; Distribuidora gilco 
 Champaña Valdivieso Demi Sec ; Vinos ;botella; 2.230 ;; Distribuidora gilco 
 Champaña Valdivieso Extra Brut ; Vinos ;botella; 4.540 ;; Distribuidora gilco 
 Champaña Valdivieso Gran Brut ; Tragos ;botella; 4.026 ;; Distribuidora gilco 
 Champaña Viña Mar Brut ; Tragos ;botella; 2.297 ;; CCU 
 Champiñon granel ; Frutas/Verduras ;kg; 6.400 ; 45 unidades x Kg ; Protier 
 Champiñon granel chico ; Frutas/Verduras ;kg; 6.500 ; 45 unidades x Kg ; Protier 
 Champiñon Ostra ; Frutas/Verduras ;kg; 12.900 ;; Fruton 
 Champiñones port.*c/u ; Frutas/Verduras ; c/u ; 153 ;; Protier 
 Champiñones portobello ; Frutas/Verduras ; kg ; 9.800 ; 31 uni x kg ; Fruton 
 Champiñones Royal ; Frutas/Verduras ;kg; 6.500 ; 35 unidades x kg ; Protier 
 Champiñones Royal*c/u ; Frutas/Verduras ;c/u; 122 ;; Protier 
 Champiñones shiitake ; Frutas/Verduras ; kg ; 12.500 ;; Protier 
 Chancaca ; Abarrotes ; pqte ; 2.400 ; 500grs ; Fruton 
 Charqui ; Frutas/Verduras ; kg ; 24.794 ;; cambiar 
 CHEESE cake de amapola, frambuesa y nuez ; Dulces/Tortas ; un ; 25.000,00 ;; El Esfuerzo 
 CHEESE CAKE DE BITTER ; Dulces/Tortas ; un ; 25.000,00 ;; El Esfuerzo 
 cheese cake de caramelo ; Dulces/Tortas ;c/u; 10.841 ;; Amarena 
 cheese cake de caramelo y cubierta de chocolate ; Dulces/Tortas ;c/u; 10.841 ;; Amarena 
 cheese cake de frambuesas ; Dulces/Tortas ;c/u; 31.933 ;; El Esfuerzo 
 cheese cake de frambuesas con base crocante ; Dulces/Tortas ;c/u; 10.840 ;; Bobbo 
 cheese cake de limón ; Dulces/Tortas ;c/u; 12.900 ;; Carmelita Ossa 
 cheese cake de moka ; Dulces/Tortas ;c/u; 10.841 ;; Amarena 
 CHEESE CAKE DE OREO ; Dulces/Tortas ;c/u; 31.933 ;; El Esfuerzo 
 cheese cake de tiramisú ; Dulces/Tortas ;c/u; 12.100 ;; Bobbo 
 cheese cake de vainilla ; Dulces/Tortas ;c/u; 12.100 ;; Bobbo 
 CHEESE cake tradicional  ; Dulces/Tortas ; un ; 25.000,00 ;; El Esfuerzo 
 Cherry ; Tragos ;botella; 3.500 ;; cambiar 
 chesse cake de amapola, frambuesa y nuez ; Dulces/Tortas ;c/u; 14.900 ;; Amarena 
 chesse cake de arándanos ; Dulces/Tortas ;c/u; 14.900 ;; Carmelita Ossa 
 CHESSE CAKE DE BITTER ; Dulces/Tortas ;c/u; 15.900 ;; CARMELA OSSA 
 chesse cake de choco chips ; Dulces/Tortas ;c/u; 12.100 ;; Bobbo 
 Chesse cake tradicional  ; Dulces/Tortas ;c/u; 14.900 ;; Amarena 
 chili rojo ; Frutas/Verduras ;kg;;; cambiar 
 chirimoya ; Frutas/Verduras ;kg; 3.900 ;; Fruton 
 Choclillo ; Carnes ;kg; 3.880 ;; Comercial Chau 
 Choclo americano ; Frutas/Verduras ;unid; 490 ;; Fruton 
 Choclo cocktail ; Abarrotes ;lata; 2.000 ; 230grs ; Fruton 
 Choclo congelado ; Frutas/Verduras ;kg; 2.590 ;; Fruton 
 Choclo peruano ; Frutas/Verduras ;kg; 4.890 ;; Fruton 
 Chocolate aso ristora  ; Abarrotes ;kg; 4.000 ;; Comercial dicalla 
 Chocolate blanco ; Abarrotes ;kg; 5.200 ;; Delicias y mas SpA 
 Chocolate negro ; Abarrotes ;kg; 5.200 ;; Delicias y mas SpA 
 Chocolatitos ; Dulces/Tortas ;c/u; 336 ;; Chocolates del Mundo 
 Chocolatitos varsovienne ; Dulces/Tortas ;c/u; 336 ;; varsovienne 
 Choricillos ; Carnes ;kg; 5.287 ;; Comercial Chau 
 Choritos frescos ; Mariscos/Pescados ;kg; 2.990 ;; Delicias y mas SpA 
 Chorizo escudero ; Carnes ;kg; 3.885 ;; Comercial Chau 
 Chorizo riojano ; Carnes ;kg; 6.000 ; -   ; Salamanca Food 
 Choros maltones frescos ; Mariscos/Pescados ;kg; 2.850 ;; Camarones Aldo 
 Chucrut ; Abarrotes ;kg; 2.000 ;; Fruton 
 Chuleta boston de cerdo ; Carnes ;kg; 7.980 ;; Comercial Chau 
 chuleta Boston de cerdo lechón ; Carnes ;kg; 3.898 ;; Comercial Chau 
